VEHICLE UPDATES
+-------+---------+------------+----------------+
| Round | Vehicle | Train Loss | Train Accuracy |
|   38  |  C2_D1  |   0.6621   |     82.52%     |
|   39  |  C1_D1  |   0.6562   |     82.75%     |
|   39  |  C1_D2  |   0.6574   |     82.45%     |
|   39  |  C2_D2  |   0.6633   |     82.14%     |
|   39  |  C2_D1  |   0.6627   |     82.48%     |
|   40  |  C2_D2  |   0.6637   |     82.19%     |
|   40  |  C2_D1  |   0.6611   |     82.5%      |
|   40  |  C1_D2  |   0.6566   |     82.42%     |
|   40  |  C1_D1  |   0.6569   |     82.74%     |
|   41  |  C1_D1  |   0.6572   |     82.77%     |
|   41  |  C1_D2  |   0.6568   |     82.44%     |
|   41  |  C2_D2  |   0.6627   |     82.24%     |
|   41  |  C2_D1  |   0.6606   |     82.52%     |
|   42  |  C2_D1  |   0.6619   |     82.51%     |
|   42  |  C2_D2  |   0.6627   |     82.25%     |
|   42  |  C1_D1  |   0.6568   |     82.75%     |
|   42  |  C1_D2  |   0.6568   |     82.43%     |
|   43  |  C2_D2  |   0.6626   |     82.19%     |
|   43  |  C1_D1  |   0.6561   |     82.78%     |
|   43  |  C2_D1  |   0.6609   |     82.51%     |
|   43  |  C1_D2  |   0.6552   |     82.49%     |
|   44  |  C1_D2  |   0.6562   |     82.52%     |
|   44  |  C2_D1  |   0.6616   |     82.56%     |
|   44  |  C2_D2  |   0.6628   |     82.18%     |
|   44  |  C1_D1  |   0.6571   |     82.71%     |
|   45  |  C2_D2  |   0.6633   |     82.18%     |
|   45  |  C1_D2  |   0.6551   |     82.5%      |
|   45  |  C1_D1  |   0.6555   |     82.8%      |
|   45  |  C2_D1  |   0.6619   |     82.42%     |
|   46  |  C2_D2  |   0.6616   |     82.24%     |
|   46  |  C1_D1  |   0.6558   |     82.75%     |
|   46  |  C2_D1  |   0.6612   |     82.41%     |
|   46  |  C1_D2  |   0.6556   |     82.43%     |
|   47  |  C1_D2  |   0.6561   |     82.53%     |
|   47  |  C2_D2  |   0.6627   |     82.17%     |
|   47  |  C1_D1  |   0.6565   |     82.78%     |
|   47  |  C2_D1  |   0.6611   |     82.49%     |
|   48  |  C1_D2  |   0.6551   |     82.5%      |
|   48  |  C2_D1  |   0.6605   |     82.5%      |
|   48  |  C2_D2  |   0.6622   |     82.28%     |
|   48  |  C1_D1  |   0.6562   |     82.75%     |
|   49  |  C1_D1  |   0.6564   |     82.77%     |
|   49  |  C2_D2  |   0.6619   |     82.21%     |
|   49  |  C2_D1  |   0.6612   |     82.52%     |
|   49  |  C1_D2  |   0.6552   |     82.53%     |
|   50  |  C1_D1  |   0.6567   |     82.75%     |
|   50  |  C2_D2  |   0.6615   |     82.19%     |
|   50  |  C1_D2  |   0.6551   |     82.57%     |
|   50  |  C2_D1  |   0.6606   |     82.53%     |
+-------+---------+------------+----------------+

GLOBAL MODEL EVALUATION
+-------+----------------------+
| Round | Global Test Accuracy |
+-------+----------------------+
|   1   |        61.0%         |
|   2   |        77.6%         |
|   3   |        81.8%         |
|   4   |        83.8%         |
|   5   |        83.6%         |
|   6   |        84.0%         |
|   7   |        85.2%         |
|   8   |        85.0%         |
|   9   |        86.4%         |
|   10  |        86.4%         |
|   11  |        86.4%         |
|   12  |        86.4%         |
|   13  |        86.6%         |
|   14  |        86.8%         |
|   15  |        86.6%         |
|   16  |        86.4%         |
|   17  |        86.4%         |
|   18  |        86.4%         |
|   19  |        86.4%         |
|   20  |        86.6%         |
|   21  |        86.4%         |
|   22  |        86.8%         |
|   23  |        86.4%         |
|   24  |        86.6%         |
|   25  |        86.6%         |
|   26  |        86.4%         |
|   27  |        86.6%         |
|   28  |        86.6%         |
|   29  |        86.6%         |
|   30  |        86.4%         |
|   31  |        86.4%         |
|   32  |        86.6%         |
|   33  |        86.6%         |
|   34  |        86.6%         |
|   35  |        86.6%         |
|   36  |        86.6%         |
|   37  |        86.2%         |
|   38  |        86.6%         |
|   39  |        86.6%         |
|   40  |        86.6%         |
|   41  |        86.6%         |
|   42  |        86.8%         |
|   43  |        86.6%         |
|   44  |        86.6%         |
|   45  |        86.6%         |
|   46  |        86.6%         |
|   47  |        86.6%         |
|   48  |        86.8%         |
|   49  |        86.6%         |
|   50  |        86.6%         |
+-------+----------------------+

CLUSTER JS DIVERGENCE (DML DRIFT)
+-------+-----------+---------------+
| Round |  Cluster  | JS Divergence |
+-------+-----------+---------------+
|   1   | Cluster_1 |     0.0893    |
|   1   | Cluster_2 |     0.0905    |
|   2   | Cluster_1 |     0.017     |
|   2   | Cluster_2 |     0.0173    |
|   3   | Cluster_1 |     0.0043    |
|   3   | Cluster_2 |     0.0042    |
|   4   | Cluster_1 |     0.0024    |
|   4   | Cluster_2 |     0.0022    |
|   5   | Cluster_1 |     0.0016    |
|   5   | Cluster_2 |     0.0016    |
|   6   | Cluster_1 |     0.0012    |
|   6   | Cluster_2 |     0.0012    |
|   7   | Cluster_1 |     0.0009    |
|   7   | Cluster_2 |     0.001     |
|   8   | Cluster_1 |     0.0009    |
|   8   | Cluster_2 |     0.0008    |
|   9   | Cluster_1 |     0.0007    |
|   9   | Cluster_2 |     0.0007    |
|   10  | Cluster_1 |     0.0006    |
|   10  | Cluster_2 |     0.0006    |
|   11  | Cluster_1 |     0.0005    |
|   11  | Cluster_2 |     0.0005    |
|   12  | Cluster_1 |     0.0004    |
|   12  | Cluster_2 |     0.0004    |
|   13  | Cluster_1 |     0.0004    |
|   13  | Cluster_2 |     0.0004    |
|   14  | Cluster_1 |     0.0003    |
|   14  | Cluster_2 |     0.0004    |
|   15  | Cluster_1 |     0.0003    |
|   15  | Cluster_2 |     0.0003    |
|   16  | Cluster_1 |     0.0003    |
|   16  | Cluster_2 |     0.0003    |
|   17  | Cluster_1 |     0.0002    |
|   17  | Cluster_2 |     0.0003    |
|   18  | Cluster_1 |     0.0002    |
|   18  | Cluster_2 |     0.0002    |
|   19  | Cluster_1 |     0.0002    |
|   19  | Cluster_2 |     0.0002    |
|   20  | Cluster_1 |     0.0002    |
|   20  | Cluster_2 |     0.0002    |
|   21  | Cluster_1 |     0.0002    |
|   21  | Cluster_2 |     0.0002    |
|   22  | Cluster_1 |     0.0002    |
|   22  | Cluster_2 |     0.0001    |
|   23  | Cluster_1 |     0.0001    |
|   23  | Cluster_2 |     0.0001    |
|   24  | Cluster_1 |     0.0001    |
|   24  | Cluster_2 |     0.0001    |
|   25  | Cluster_1 |     0.0001    |
|   25  | Cluster_2 |     0.0001    |
|   26  | Cluster_1 |     0.0001    |
|   26  | Cluster_2 |     0.0001    |
|   27  | Cluster_1 |     0.0001    |
|   27  | Cluster_2 |     0.0001    |
|   28  | Cluster_1 |     0.0001    |
|   28  | Cluster_2 |     0.0001    |
|   29  | Cluster_1 |     0.0001    |
|   29  | Cluster_2 |     0.0001    |
|   30  | Cluster_1 |     0.0001    |
|   30  | Cluster_2 |     0.0001    |
|   31  | Cluster_1 |     0.0001    |
|   31  | Cluster_2 |     0.0001    |
|   32  | Cluster_1 |     0.0001    |
|   32  | Cluster_2 |     0.0001    |
|   33  | Cluster_1 |     0.0001    |
|   33  | Cluster_2 |     0.0001    |
|   34  | Cluster_1 |      0.0      |
|   34  | Cluster_2 |      0.0      |
|   35  | Cluster_1 |      0.0      |
|   35  | Cluster_2 |      0.0      |
|   36  | Cluster_1 |      0.0      |
|   36  | Cluster_2 |      0.0      |
|   37  | Cluster_1 |      0.0      |
|   37  | Cluster_2 |      0.0      |
|   38  | Cluster_1 |      0.0      |
|   38  | Cluster_2 |      0.0      |
|   39  | Cluster_1 |      0.0      |
|   39  | Cluster_2 |      0.0      |
|   40  | Cluster_1 |      0.0      |
|   40  | Cluster_2 |      0.0      |
|   41  | Cluster_1 |      0.0      |
|   41  | Cluster_2 |      0.0      |
|   42  | Cluster_1 |      0.0      |
