node,round,train_loss,train_accuracy_pct,private_test_accuracy_pct,epsilon,delta,global_proxy_accuracy_pct,successful_updates,throughput_updates_per_sec,bytes_tx,bytes_rx,training_ms,key_generation_ms,signature_generation_ms,signature_verification_ms,batch_verification_ms,batch_verification_receiver_ms,encryption_ms,decryption_ms,communication_tx_ms,communication_rx_ms,security_latency_ms,communication_latency_ms,device_round_execution_ms,rsu_round_execution_ms,server_round_execution_ms,energy_training_j,energy_security_j,energy_communication_j,energy_total_j,energy_idle_j,idle_latency_ms
Cluster_2,17,,,,,,,,,616341.0,617834.0,,0.0,14.865400007693097,128.07600002270192,43.94795000553131,101.39140000683255,39.94869999587536,0.0,6.50280000991188,15.92119998531416,226.83805003180169,22.42399999522604,,164.59920001216233,,0.0,0.987199193738401,0.1463838719688356,1.1335830657072365,0.0,0.0
Server,17,,,,,,91.01,2.0,0.7120472918986135,409876.0,412931.0,,0.0,,,,87.89590001106262,,0.0,3.109300014330074,0.3782000276260078,0.0,3.487500041956082,,,2258.9866999769583,0.0,0.0,0.022766400273889303,0.022766400273889303,4.907966259058565,2255.4991999350023
C1_D1,18,0.05306864553441604,98.83333333333333,88.0,531319.8550511402,1e-05,,,,206448.0,204938.0,5864.800099981949,0.0,12.019399990094826,114.28710000473075,45.99295000662096,,45.22140001063235,0.0,2.239299996290356,0.13930001296103,217.52085001207888,2.378600009251386,9673.527000006288,,,63.80902508780361,0.9466507392525674,0.01552750086039305,0.9621782401129604,7.809288531206549,3588.8274500030093
C1_D2,18,0.04654196953400969,99.25,88.5,531319.8550511402,1e-05,,,,206449.0,204938.0,5553.882799984422,0.0,15.356199990492314,113.51699999067932,45.99295000662096,,39.61940002045594,0.0,1.5551999968010932,1.109900011215359,214.48555000824854,2.665100008016452,9674.36100001214,,,60.42624486383051,0.9334411136358978,0.0173977728523314,0.9508388864882291,8.493640748824925,3903.327550011454
C2_D1,18,0.05114318760732809,98.99999999999999,87.0,531319.8550511402,1e-05,,,,206448.0,204938.0,6026.541200000793,0.0,17.722499993396923,110.4211000201758,42.69380000187084,,45.865299995057285,0.0,2.331900002900511,0.5658000009134412,216.70270001050085,2.897700003813952,9676.66339999414,,,65.56876825600862,0.9430901504456998,0.01891618562489748,0.9620063360705973,7.464815436754376,3430.521799979033
C2_D2,18,0.06149326673398415,98.99999999999999,86.0,531319.8550511402,1e-05,,,,206448.0,204938.0,5834.550699975807,0.0,13.378600007854402,170.69609998725355,42.69380000187084,,39.286899991566315,0.0,2.6983999996446073,1.284099998883903,266.0553999885451,3.9824999985285103,9660.114099999191,,,63.47991161573679,1.1578731007501484,0.02599775999039412,1.1838708607405426,7.736823488079012,3555.5255000363104
Cluster_1,18,,,,,,,,,616342.0,617835.0,,0.0,29.32559998589568,119.8967999953311,43.64395000447985,91.98590001324192,73.90069999382831,0.0,6.641199986916035,0.917499972274527,266.76704997953493,7.558699959190562,,362.4310999875888,,0.0,1.160970201510936,0.04934319333359599,1.210313394844532,0.1917172417063266,88.10535004886333
Cluster_2,18,,,,,,,,,616341.0,617834.0,,0.0,13.013299991143867,113.84989999351092,43.64395000447985,85.38760000374168,47.145600023213774,0.0,8.095899975160137,1.3286000466905534,217.6527500123484,9.42450002185069,,151.57109999563545,,0.0,0.9472247680537403,0.061523136142641315,1.0087479041963816,0.0,0.0
Server,18,,,,,,91.07,2.0,0.8012239818054193,409876.0,412931.0,,0.0,,,,87.2879000089597,,0.0,3.011900029378012,0.4472000291571021,0.0,3.459100058535114,,,2024.3461999925785,0.0,0.0,0.022581005182117225,0.022581005182117225,4.397450329456478,2020.8870999340434
C1_D1,19,0.051670957244932654,98.95833333333334,88.0,560837.02367741,1e-05,,,,206449.0,204938.0,5547.1973000094295,0.0,12.140399980125949,114.8051000200212,47.049050001078285,,44.69420001260005,0.0,1.2838999973610044,17.14080001693219,218.68875001382548,18.424700014293194,9753.866500017466,,,60.3535066241026,0.9517334400601686,0.12027644169330598,1.0720098817534747,8.6377533119563,3969.555749979918
C1_D2,19,0.04649497326463461,99.33333333333333,88.0,560837.02367741,1e-05,,,,206449.0,204938.0,5439.172899990808,0.0,15.012499992735684,116.5006999799516,47.049050001078285,,41.93590002250858,0.0,2.419900003587827,3.0104000179562718,220.49814999627415,5.430300021544099,9749.66250002035,,,59.1782011519,0.9596079487837852,0.035448998540639876,0.9950569473244251,8.88800506242551,4084.561150011723
C2_D1,19,0.05053210676958164,99.25,87.0,560837.02367741,1e-05,,,,206449.0,204938.0,5817.981900006998,0.0,14.86199998180382,112.85639999550767,45.013950002612546,,40.878100000554696,0.0,15.544199995929375,1.9979999924544245,213.61044998047873,17.5421999883838,9750.825399998575,,,63.29964307207615,0.9296326783150436,0.11451548152416946,1.044148159839213,8.054879289649428,3701.6908500227146
C2_D2,19,0.06150256259987751,98.95833333333334,86.0,560837.02367741,1e-05,,,,206449.0,204938.0,5629.288399999496,0.0,18.160899984650314,117.61079999268986,45.013950002612546,,48.84390000370331,0.0,1.7311999981757253,0.22509999689646065,229.62954998365603,1.956299995072186,9754.919400002109,,,61.24665779199452,0.9993478015288711,0.012770726367831232,1.0121185278967024,8.473442246451974,3894.045150023885
Cluster_1,19,,,,,,,,,616341.0,617836.0,,0.0,14.974899997469038,113.67099999915808,59.8440500034485,94.09810000215657,46.835799992550164,0.0,20.772799965925515,1.2304999982006848,235.3257499926258,22.0032999641262,,170.76429998269305,,0.0,1.0241376639679074,0.14363754216581584,1.1677752061337232,0.0,0.0
Cluster_2,19,,,,,,,,,616341.0,617836.0,,0.0,16.701000015018508,120.14430001727305,59.8440500034485,90.02790000522509,48.11509998398833,0.0,11.403200012864545,44.249199971091,244.8044500197284,55.65239998395555,,162.40269999252632,,0.0,1.065388966485858,0.3632988670952618,1.4286878335811197,0.0,0.0
Server,19,,,,,,91.01,2.0,0.6708775413714613,409876.0,412930.0,,0.0,,,,119.688100006897,,0.0,20.293100009439513,0.6206000107340515,0.0,20.913700020173565,,,2231.2292999995407,0.0,0.0,0.13652463373169302,0.13652463373169302,4.809646745555103,2210.315599979367
C1_D1,20,0.051119957206149896,98.95833333333334,88.0,590354.1923036797,1e-05,,,,,204938.0,5610.8523000148125,0.0,,,,,,0.0,,5.255600000964478,0.0,5.255600000964478,33928.69980001706,,,61.04607302416117,0.0,0.03430855680629611,0.03430855680629611,61.608199974402794,28312.59190000128
C1_D2,20,0.04544001078854004,99.20833333333334,89.5,590354.1923036797,1e-05,,,,206448.0,204938.0,5661.480200011283,0.0,12.558499991428107,113.6811000178568,,,42.783400014741346,0.0,2.0491000032052398,1.5409000043291599,169.02300002402626,3.5900000075343996,33930.626800021855,,,61.59690457612277,0.7355880961045623,0.02343552004918456,0.7590236161537469,61.13805711355434,28096.53359997901
C2_D1,20,0.049502470158040525,99.08333333333333,86.0,590354.1923036797,1e-05,,,,,204938.0,6161.614999989979,0.0,,,,,,0.0,,1.754899974912405,0.0,1.754899974912405,33924.65910001192,,,67.03837119989097,0.0,0.01145598703622818,0.01145598703622818,60.408565299302346,27761.28920004703
