VEHICLE TRAINING UPDATES
+-------+---------+------------+----------------+
| Round | Vehicle | Train Loss | Train Accuracy |
|   5   |  C2_D2  |   0.481    |     80.13%     |
|   5   |  C2_D6  |   0.4692   |     80.68%     |
|   5   |  C1_D4  |   0.4828   |     79.53%     |
|   5   |  C2_D5  |   0.4818   |     80.11%     |
|   5   |  C1_D6  |   0.4712   |     81.51%     |
|   5   |  C1_D5  |   0.4611   |     80.79%     |
|   5   |  C2_D7  |   0.4722   |     80.68%     |
|   5   |  C1_D9  |   0.4819   |     80.56%     |
|   5   |  C1_D7  |   0.464    |     81.57%     |
|   5   |  C1_D8  |   0.4694   |     80.21%     |
|   5   |  C2_D9  |   0.4527   |     81.46%     |
|   5   |  C2_D10 |   0.4521   |     82.66%     |
|   5   |  C1_D11 |   0.4716   |     80.03%     |
|   5   |  C1_D12 |   0.4733   |     80.89%     |
|   5   |  C2_D11 |   0.4811   |     79.91%     |
|   5   |  C1_D10 |   0.4977   |     79.48%     |
|   5   |  C1_D18 |   0.4668   |     80.83%     |
|   5   |  C1_D17 |   0.4637   |     81.49%     |
|   5   |  C2_D13 |   0.4572   |     82.03%     |
|   5   |  C1_D13 |   0.458    |     80.87%     |
|   5   |  C2_D16 |   0.4634   |     80.45%     |
|   5   |  C1_D19 |   0.4589   |     80.76%     |
|   5   |  C1_D14 |   0.4739   |     79.67%     |
|   5   |  C1_D20 |   0.4763   |     79.77%     |
|   5   |  C2_D14 |   0.4895   |     78.64%     |
|   5   |  C2_D19 |   0.4833   |     80.24%     |
|   5   |  C2_D1  |   0.4621   |     80.46%     |
|   5   |  C2_D17 |   0.4709   |     80.65%     |
|   5   |  C2_D4  |   0.4776   |     79.81%     |
|   5   |  C2_D18 |   0.4666   |     79.99%     |
|   5   |  C2_D8  |   0.4849   |     79.83%     |
|   5   |  C2_D3  |   0.4541   |     82.31%     |
|   5   |  C2_D20 |   0.479    |     79.54%     |
|   5   |  C1_D15 |   0.4654   |     80.48%     |
|   5   |  C2_D15 |   0.4698   |     80.34%     |
|   5   |  C2_D12 |   0.4587   |     80.76%     |
|   6   |  C2_D2  |   0.4732   |     80.3%      |
|   6   |  C2_D19 |   0.4723   |     80.38%     |
|   6   |  C1_D2  |   0.4677   |     81.08%     |
|   6   |  C1_D3  |   0.4387   |     82.99%     |
|   6   |  C1_D6  |   0.4636   |     81.25%     |
|   6   |  C1_D1  |   0.4646   |     80.51%     |
|   6   |  C1_D4  |   0.4735   |     80.0%      |
|   6   |  C1_D7  |   0.4551   |     81.96%     |
|   6   |  C2_D6  |   0.459    |     80.62%     |
|   6   |  C2_D5  |   0.4701   |     80.62%     |
|   6   |  C2_D7  |    0.46    |     80.95%     |
|   6   |  C1_D5  |   0.4561   |     80.83%     |
|   6   |  C2_D10 |   0.4427   |     82.68%     |
|   6   |  C1_D12 |   0.466    |     81.11%     |
|   6   |  C2_D9  |   0.4471   |     81.59%     |
|   6   |  C1_D11 |   0.4629   |     80.45%     |
|   6   |  C1_D8  |   0.4607   |     80.64%     |
|   6   |  C1_D18 |   0.4563   |     80.87%     |
|   6   |  C2_D11 |   0.4717   |     80.18%     |
|   6   |  C1_D16 |   0.4821   |     79.26%     |
|   6   |  C2_D13 |   0.4476   |     82.36%     |
|   6   |  C1_D17 |   0.4537   |     81.89%     |
|   6   |  C1_D10 |   0.4917   |     79.67%     |
|   6   |  C2_D16 |   0.4551   |     80.7%      |
|   6   |  C1_D14 |   0.464    |     79.97%     |
|   6   |  C1_D13 |   0.4485   |     81.06%     |
|   6   |  C2_D14 |   0.479    |     79.16%     |
|   6   |  C1_D20 |   0.4665   |     79.91%     |
|   6   |  C1_D19 |   0.4515   |     81.06%     |
|   6   |  C2_D1  |   0.4522   |     80.64%     |
|   6   |  C2_D18 |   0.4587   |     80.6%      |
|   6   |  C2_D4  |   0.4683   |     80.11%     |
|   6   |  C2_D3  |   0.4445   |     82.14%     |
|   6   |  C2_D8  |   0.4768   |     79.91%     |
|   6   |  C2_D20 |   0.4713   |     79.7%      |
|   6   |  C1_D9  |   0.4748   |     80.65%     |
|   6   |  C1_D15 |   0.4569   |     80.48%     |
|   6   |  C2_D17 |   0.4627   |     80.48%     |
|   6   |  C2_D15 |   0.4614   |     80.26%     |
|   6   |  C2_D12 |   0.4507   |     80.94%     |
|   7   |  C2_D9  |   0.4392   |     81.78%     |
|   7   |  C1_D14 |   0.4545   |     80.21%     |
|   7   |  C2_D2  |   0.4633   |     80.26%     |
|   7   |  C1_D2  |   0.4584   |     80.72%     |
|   7   |  C1_D1  |   0.4558   |     80.3%      |
|   7   |  C1_D9  |   0.4647   |     80.6%      |
|   7   |  C1_D4  |   0.4663   |     80.3%      |
|   7   |  C1_D6  |   0.4588   |     81.27%     |
|   7   |  C1_D5  |   0.447    |     81.14%     |
|   7   |  C2_D5  |   0.4609   |     80.89%     |
|   7   |  C2_D6  |   0.4523   |     81.11%     |
|   7   |  C2_D10 |   0.4351   |     82.68%     |
|   7   |  C1_D8  |   0.4522   |     80.76%     |
|   7   |  C2_D7  |   0.4525   |     81.05%     |
|   7   |  C1_D12 |   0.4597   |     80.92%     |
|   7   |  C1_D18 |   0.4495   |     80.89%     |
|   7   |  C1_D7  |   0.4484   |     81.92%     |
|   7   |  C1_D11 |   0.4558   |     80.22%     |
|   7   |  C2_D13 |   0.4393   |     82.31%     |
|   7   |  C1_D17 |   0.4462   |     81.81%     |
|   7   |  C2_D11 |   0.4617   |     80.46%     |
|   7   |  C2_D16 |   0.4453   |     80.92%     |
|   7   |  C1_D16 |   0.4726   |     79.67%     |
|   7   |  C1_D10 |   0.4844   |     79.45%     |
|   7   |  C1_D20 |   0.4574   |     79.91%     |
|   7   |  C2_D1  |   0.4463   |     80.67%     |
|   7   |  C1_D13 |   0.4399   |     81.33%     |
|   7   |  C2_D18 |   0.4482   |     80.6%      |
|   7   |  C1_D19 |   0.445    |     81.19%     |
|   7   |  C2_D3  |   0.4372   |     82.49%     |
|   7   |  C2_D4  |   0.4606   |     80.0%      |
|   7   |  C2_D8  |   0.4677   |     80.16%     |
|   7   |  C1_D3  |   0.4296   |     83.01%     |
|   7   |  C2_D20 |   0.4613   |     80.29%     |
|   7   |  C2_D17 |   0.4541   |     81.0%      |
|   7   |  C2_D19 |   0.4646   |     80.64%     |
|   7   |  C2_D14 |   0.4695   |     79.42%     |
|   7   |  C1_D15 |   0.4497   |     80.7%      |
|   7   |  C2_D12 |   0.4428   |     81.11%     |
|   8   |  C2_D13 |   0.4338   |     82.49%     |
|   7   |  C2_D15 |   0.4539   |     80.46%     |
|   8   |  C1_D2  |   0.4517   |     81.21%     |
|   8   |  C2_D2  |   0.4543   |     80.67%     |
|   8   |  C1_D1  |   0.4487   |     80.94%     |
|   8   |  C1_D5  |   0.4405   |     81.43%     |
|   8   |  C1_D6  |   0.4511   |     81.46%     |
|   8   |  C1_D4  |   0.4579   |     80.32%     |
|   8   |  C2_D5  |   0.4532   |     80.92%     |
|   8   |  C1_D9  |   0.4597   |     80.67%     |
|   8   |  C1_D8  |   0.4477   |     80.89%     |
|   8   |  C2_D9  |   0.4329   |     81.79%     |
|   8   |  C2_D10 |   0.4282   |     82.9%      |
