node,round,train_loss,train_accuracy_pct,private_test_accuracy_pct,epsilon,delta,global_proxy_accuracy_pct,successful_updates,throughput_updates_per_sec,throughput_bytes_per_sec,bytes_tx,bytes_rx,training_ms,key_generation_ms,signature_generation_ms,signature_verification_ms,batch_verification_ms,batch_verification_receiver_ms,encryption_ms,decryption_ms,communication_tx_ms,communication_rx_ms,security_latency_ms,communication_latency_ms,action_to_response_ms,end_to_end_time_ms,device_round_execution_ms,rsu_round_execution_ms,server_round_execution_ms,energy_training_j,energy_security_j,energy_communication_j,energy_total_j,energy_idle_j,idle_latency_ms
C1_D3,28,0.3733997017596707,84.13225755418446,81.55893536121674,2171182.2091202666,1e-05,,,,,,2797.0,56992.548000009265,0.0,,,,,,0.0,,5.93230000231415,0.0,5.93230000231415,,96409.3943000189,96409.3943000189,,,620.0789222401008,0.0,0.03872605441510677,0.03872605441510677,85.75814886401594,39410.914000007324
C1_D4,28,0.40018866888501425,81.83831672203765,81.1787072243346,2171182.2091202666,1e-05,,,,,,2797.0,62154.300299996976,0.0,,,,,,0.0,,3.8813000137452036,0.0,3.8813000137452036,,96395.08980000392,96395.08980000392,,,676.2387872639671,0.0,0.025337126489728693,0.025337126489728693,74.4995122431852,34236.908199993195
C1_D5,28,0.3941780098459937,82.48694826767917,81.36882129277566,2171182.2091202666,1e-05,,,,,,2797.0,49198.38299998082,0.0,,,,,,0.0,,3.5186999884899706,0.0,3.5186999884899706,,96411.59120001248,96411.59120001248,,,535.2784070397913,0.0,0.02297007352486253,0.02297007352486253,102.72828435209395,47209.68950004317
C1_D6,28,0.39588656810799033,82.64515108368929,81.1787072243346,2171182.2091202666,1e-05,,,,,,2797.0,61605.79460000736,0.0,,,,,,0.0,,0.07909999112598598,0.0,0.07909999112598598,,96342.25310001057,96342.25310001057,,,670.2710452480801,0.0,0.0005163647420704365,0.0005163647420704365,75.58636157442629,34736.37940001208
C1_D7,28,0.3861292535909499,83.0406581237146,83.84030418250951,2171182.2091202666,1e-05,,,,,,2797.0,66273.23169997544,0.0,,,,,,0.0,,0.18030000501312315,0.0,0.18030000501312315,,96326.77980000153,96326.77980000153,,,721.0527608957328,0.0,0.0011769984327256679,0.0011769984327256679,65.39612833284588,30053.36780002108
C1_D8,28,0.40484726210736266,81.69593418762854,79.84790874524715,2171182.2091202666,1e-05,,,,,,2797.0,70411.35329997633,0.0,,,,,,0.0,,0.0693999754730612,0.0,0.0693999754730612,,96297.44049999863,96297.44049999863,,,766.0755239037425,0.0,0.0004530430398881436,0.0004530430398881436,56.32797473290191,25886.01780004683
C1_D9,28,0.40228052271736997,81.93323841164374,82.12927756653993,2171182.2091202666,1e-05,,,,,,2797.0,67519.6808000037,0.0,,,,,,0.0,,3.2848000118974596,0.0,3.2848000118974596,,96385.62119999551,96385.62119999551,,,734.6141271040402,0.0,0.021443174477666617,0.021443174477666617,62.80513858555631,28862.655599979917
C2_D1,28,0.3903730446190545,81.88577756684069,80.98859315589354,2171182.2091202666,1e-05,,,,,,2797.0,53867.22909999662,0.0,,,,,,0.0,,11.945000005653128,0.0,11.945000005653128,,96472.36949999933,96472.36949999933,,,586.0754526079633,0.0,0.07797696003690362,0.07797696003690362,92.6827931903936,42593.19539999706
C2_D10,28,0.37356764623763583,84.11643727258345,80.6083650190114,2171182.2091202666,1e-05,,,,,,2797.0,62182.053800002905,0.0,,,,,,0.0,,0.9561000042594969,0.0,0.9561000042594969,,96404.07869999763,96404.07869999763,,,676.5407453440316,0.0,0.006241420827805997,0.006241420827805997,74.46504570877924,34221.06879999046
C2_D11,28,0.39961552047970317,81.30042714760323,79.84790874524715,2171182.2091202666,1e-05,,,,,,2797.0,60544.781900011,0.0,,,,,,0.0,,2.2082000214140862,0.0,2.2082000214140862,,96461.85920000426,96461.85920000426,,,658.7272270721197,0.0,0.014415129739791156,0.014415129739791156,78.15075516153873,35914.86909997184
C2_D12,28,0.39313543633078085,82.01233981964879,81.74904942965779,2171182.2091202666,1e-05,,,,,8523.0,7057.0,81863.10450002202,0.0,12.920500012114644,118.82360000163317,,,45.14500001096167,0.0,3.6832999903708696,2.996399998664856,176.88910002470948,6.679699989035726,12193.483200011542,96406.99160000077,96406.99160000077,,,890.6705769602397,0.7698213633075357,0.04360508152842522,0.8134264448359609,31.248052620723847,14360.318299965002
C2_D13,28,0.3900136870115694,83.43616516373991,81.74904942965779,2171182.2091202666,1e-05,,,,,,2797.0,65244.365200022,0.0,,,,,,0.0,,2.49360001180321,0.0,2.49360001180321,,96436.0061000043,96436.0061000043,,,709.8586933762394,0.0,0.016278220877051355,0.016278220877051355,67.8675845247358,31189.1472999705
C2_D14,28,0.41202308297759355,80.65179560196172,81.55893536121674,2171182.2091202666,1e-05,,,,,,2797.0,69312.26659999811,0.0,,,,,,0.0,,2.1188000100664794,0.0,2.1188000100664794,,96431.47339997813,96431.47339997813,,,754.1174606079794,0.0,0.01383152646571398,0.01383152646571398,59.00678348793463,27117.087999969954
C2_D15,28,,,,,,,,,,,2797.0,,0.0,,,,,,0.0,,2.9217000119388103,0.0,2.9217000119388103,,2.9217000119388103,,,,0.0,0.0,0.019072857677936553,0.019072857677936553,0.0,0.0
C2_D16,28,0.3892137427071128,81.9015978484417,82.31939163498099,2171182.2091202666,1e-05,,,,,,2797.0,64722.23099999246,0.0,,,,,,0.0,,3.6408999876584858,0.0,3.6408999876584858,,96443.93239999772,96443.93239999772,,,704.177873279918,0.0,0.023767795119434595,0.023767795119434595,69.0184996480383,31718.0605000176
C2_D17,28,0.40106457133184775,81.96487897484576,80.03802281368822,2171182.2091202666,1e-05,,,,,,2797.0,73557.63389999629,0.0,,,,,,0.0,,2.1863000001758337,0.0,2.1863000001758337,,96412.38530000555,96412.38530000555,,,800.3070568319596,0.0,0.014272166401147843,0.014272166401147843,49.727181657619774,22852.565100009087
C2_D18,28,0.39484524945117006,81.98069925644677,81.36882129277566,2171182.2091202666,1e-05,,,,,12785.0,11318.0,66604.68519999995,0.0,18.05640000384301,145.84899999317713,34.00809999826985,,52.791899972362444,0.0,61.60660000750795,1.5478000277653337,250.70539996765243,63.154400035273284,27318.44220001949,96438.21140000364,96438.21140000364,,,724.6589749759994,1.0910699006592233,0.41227192343026403,1.5033418240894874,64.23479408640165,29519.66640000076
C2_D19,28,0.40691847120872654,81.82249644043664,81.1787072243346,2171182.2091202666,1e-05,,,,,,2797.0,72325.82280001952,0.0,,,,,,0.0,,0.8462999830953777,0.0,0.8462999830953777,,96410.83969999454,96410.83969999454,,,786.9049520642125,0.0,0.0055246462896466255,0.0055246462896466255,52.40715522558243,24084.17059999192
C2_D2,28,0.40643795865653737,81.82249644043664,79.46768060836501,2171182.2091202666,1e-05,,,,,4264.0,2797.0,57109.16710001766,0.0,16.33470001979731,122.66670001554303,34.00809999826985,,44.87479999079369,0.0,2.0960000110790133,0.08150000940077007,217.88430002440387,2.1775000204797834,39133.064900001045,96503.71469999664,96503.71469999664,,,621.3477380481921,0.9482324737062057,0.014214720133692028,0.9624471938398977,85.2436811006566,39174.4857999341
C2_D20,28,0.40442384139756965,81.60101249802246,83.46007604562737,2171182.2091202666,1e-05,,,,,4265.0,2797.0,79802.230900008,0.0,11.800700012827292,113.41650001122616,34.00809999826985,,47.428399993805215,0.0,1.3779000146314502,3.0556000128854066,206.6537000161285,4.433500027516857,16431.925699987914,96422.81320001348,96422.81320001348,,,868.2482721920871,0.8993569024701914,0.028941888179630046,0.9282987906498215,35.70706133751695,16409.49509996183
C2_D3,28,0.390446813269095,83.57854769814904,79.65779467680608,2171182.2091202666,1e-05,,,,,4264.0,2797.0,69883.34400000167,0.0,13.510999997379258,130.24170001153834,34.00809999826985,,53.47270000493154,0.0,1.6641000111121684,0.6999000033829361,231.23350001211898,2.3640000144951046,26205.208800005494,96345.31810000772,96345.31810000772,,,760.3307827200182,1.0063281920527418,0.015432192094624044,1.021760384147366,57.07294748155524,26228.376599979427
C2_D4,28,0.4064754775979302,81.31624742920424,80.03802281368822,2171182.2091202666,1e-05,,,,,,2797.0,75122.57249999675,0.0,,,,,,0.0,,3.4551999997347593,0.0,3.4551999997347593,,96459.31950001977,96459.31950001977,,,817.3335887999648,0.0,0.022555545598268507,0.022555545598268507,46.421242956850676,21333.29180002329
C2_D5,28,0.3984036657093751,82.64515108368929,78.89733840304183,2171182.2091202666,1e-05,,,,,,2797.0,59562.1470999904,0.0,,,,,,0.0,,4.553600010694936,0.0,4.553600010694936,,96480.87410000153,96480.87410000153,,,648.0361604478956,0.0,0.029725900869816545,0.029725900869816545,80.32524131840096,36914.173400000436
C2_D6,28,0.3982666575848454,82.42366714127512,84.79087452471484,2171182.2091202666,1e-05,,,,,,2797.0,59070.60830001137,0.0,,,,,,0.0,,4.618300008587539,0.0,4.618300008587539,,96464.77339998819,96464.77339998819,,,642.6882183041238,0.0,0.03014826245605946,0.03014826245605946,81.35965383673087,37389.54679996823
